ID,Name,Level,Alignment,Size,Traits,Perception,Languages,Skills,Str,Dex,Con,Int,Wis,Cha,AC,Fort,Ref,Will,HP,Resistances,Speed,Source
47,Grizzly Bear,3,,Large,Animal,"+10; , ( ) 30 feet",UNKNOWN,"Athletics +11, Survival +8",+4,+1,+5,-4,+1,-2,17,+12,+6,+8,59,,35 feet,Monster Core pg. 41
48,Cave Bear,6,N,Large,Animal,"+13; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Athletics +16, Survival +11",+6,+1,+6,-4,+1,-1,24,+16,+11,+13,95,,35 feet,Bestiary pg. 40
49,Flash Beetle,-1,,Small,Animal,+6;,UNKNOWN,"Acrobatics +6, Athletics +4",+1,+3,+2,-5,+1,-2,16,+5,+8,+4,6,,"20 feet, fly 15 feet",Monster Core pg. 42
50,Giant Stag Beetle,4,N,Large,Animal,+10; darkvision,UNKNOWN,"Acrobatics +9, Athletics +13",+5,+1,+5,-5,+2,-1,22,+13,+9,+8,55,,"20 feet, fly 20 feet",Bestiary pg. 41
51,Bloodseeker,-1,N,Tiny,Animal,"+6; darkvision, scent (imprecise) 60 feet",UNKNOWN,"Acrobatics +6, Stealth +6",-4,+3,+0,-5,+1,-2,16,+5,+8,+4,6,,"10 feet, fly 30 feet",Bestiary pg. 42
52,Boar,2,N,Medium,Animal,"+8; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +5, Athletics +8, Survival +8",+4,+1,+4,-4,+2,-3,18,+10,+5,+8,30,,40 feet,Bestiary pg. 43
53,Daeodon,4,N,Large,Animal,"+12; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +8, Athletics +12, Survival +10",+6,+0,+3,-4,+2,-1,21,+13,+9,+10,60,,40 feet,Bestiary pg. 43
56,Boggard Swampseer,3,,Medium,"Amphibious, Boggard, Humanoid",+11;,"Boggard, Chthonian, Common","Athletics +8, Intimidation +8, Medicine +9, Nature +11, Performance +8, Religion +9",+3,+0,+2,+0,+4,+3,18,+9,+7,+11,40,,"20 feet, swim 25 feet; swamp passage",Monster Core pg. 45
57,Jah-Tohl (Mind Snatcher),8,,Large,Aberration,"+18; , thoughtsense 60 feet","Aklo, Chthonian, Draconic, Protean, Sakvroth, telepathy, 100 feet","Acrobatics +17, Arcana +18, Athletics +16, Lore +18 (all subcategories), Occultism +21, Stealth +17",+6,+3,+5,+4,+4,+3,26,+15,+13,+18; +1 status on all saves vs.,140,,"25 feet, fly 30 feet",Monster Core pg. 106
58,Bugbear Thug,2,NE,Medium,"Goblin, Humanoid","+7; darkvision, scent (imprecise) 30 feet","Common, Goblin","Acrobatics +6, Athletics +7, Intimidation +4, Stealth +6",+4,+2,+3,-1,+1,+0,17,+9,+8,+5,34,,25 feet,Bestiary pg. 47
61,Bulette,8,N,Huge,Animal,"+16; darkvision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +16, Athletics +21",+7,+2,+6,-4,+2,-2,30,+20,+16,+14,120,,"40 feet, burrow 30 feet; powerful jumper",Bestiary pg. 48
62,Bunyip,3,N,Medium,"Animal, Aquatic","+10; blood scent, darkvision, scent (imprecise) 100 feet",UNKNOWN,"Athletics +11, Stealth +10, Survival +8",+4,+3,+4,-4,+1,-1,19,+9,+12,+6,45,,"10 feet, swim 40 feet",Bestiary pg. 49
65,Caligni Creeper,2,CN,Small,"Caligni, Humanoid","+8; greater darkvision, light blindness",Caligni,"Acrobatics +8, Athletics +4, Stealth +10, Thievery +8",+0,+4,+3,-1,+2,+1,19,+9,+10,+6,30 (death flash),,25 feet,Bestiary pg. 50
67,Leopard,2,N,Medium,Animal,"+7; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +8, Athletics +7, Stealth +8 (+11 in undergrowth)",+3,+4,+2,-4,+1,-2,18,+8,+10,+5,30,,"30 feet, climb 20 feet",Bestiary pg. 52
68,Lion,3,N,Large,Animal,"+9; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +8, Athletics +11, Stealth +10",+4,+3,+2,-4,+2,-2,19,+9,+10,+7,45,,30 feet,Bestiary pg. 52
69,Tiger,4,N,Large,Animal,"+12; low-light vision, scent (imprecise) 30 feet",UNKNOWN,"Acrobatics +11, Athletics +13, Stealth +13",+5,+3,+3,-4,+2,-2,21,+13,+11,+8,60,,30 feet,Bestiary pg. 53
70,Smilodon,6,N,Large,Animal,"+14; low-light vision, scent (imprecise) 60 feet",UNKNOWN,"Acrobatics +12, Athletics +16, Stealth +12",+6,+2,+3,-4,+2,+0,23,+15,+12,+10,110,,30 feet,Bestiary pg. 53
71,Catfolk Pouncer,1,CG,Medium,"Catfolk, Humanoid",+6; low-light vision,"Amurrun, Common","Acrobatics +7, Athletics +6, Nature +4, Stealth +7, Survival +4",+3,+4,+1,-1,+1,+1,17,+6,+9,+4,19,,30 feet,Bestiary pg. 54
72,Cauthooj,12,N,Medium,Beast,+22; thoughtsense (imprecise) 60 feet,"Sylvan, ; (can’t speak any language)","Athletics +24, Stealth +25",+6,+4,+7,-3,+2,+0,33,+25,+20,+18,215,,35 feet,Bestiary pg. 55
73,Purple Worm,13,N,Gargantuan,Animal,"+20; darkvision, tremorsense (imprecise) 100 feet",UNKNOWN,Athletics +30,+9,-1,+7,-5,-1,-1,32,+28,+21,+21,270,,"40 feet, burrow 40 feet, swim 20 feet",Bestiary pg. 56
74,Azure Worm,15,N,Gargantuan,"Amphibious, Animal","+22; darkvision, tremorsense (imprecise) 100 feet",UNKNOWN,"Athletics +33, Stealth +20 (+25 in water)",+10,-1,+8,-5,-1,-1,35,+32,+20,+23,320,,"40 feet, burrow 40 feet, swim 60 feet",Bestiary pg. 57
75,Crimson Worm,18,N,Gargantuan,"Beast, Fire","+25; darkvision, tremorsense (imprecise) 100 feet",UNKNOWN,Athletics +38,+10,-1,+9,-3,-1,-1,40,+36,+25,+27,410 (fire healing),,"40 feet, burrow 40 feet, swim 20 feet",Bestiary pg. 59
76,Centaur,3,N,Large,Beast,+9; darkvision,"Common, Elven, Sylvan","Athletics +11, Diplomacy +6, Intimidation +6, Nature +7, Survival +7",+4,+2,+1,+0,+2,+1,20 (22 with shield raised),+8,+9,+9,40,,40 feet,Bestiary pg. 60
77,Giant Centipede,-1,N,Medium,Animal,+6; darkvision,UNKNOWN,"Acrobatics +6, Athletics +2, Stealth +6",-1,+3,+1,-5,+1,-4,15,+7,+6,+2,8,,"30 feet, climb 30 feet",Bestiary pg. 61
78,Centipede Swarm,3,N,Large,"Animal, Swarm","+9; darkvision, tremorsense (imprecise) 30 feet",UNKNOWN,"Acrobatics +9, Athletics +7, Stealth +9",+2,+4,+3,-5,+0,-4,18,+8,+11,+5,30,bludgeoning 5 piercing 5 slashing 2,"30 feet, climb 30 feet",Bestiary pg. 61
79,Changeling Exile,3,CN,Medium,"Changeling, Human, Humanoid",+11; darkvision,"Common, Druidic","Deception +9, Medicine +9, Nature +11, Stealth +8, Survival +9",+4,+1,+0,+0,+4,+2,19,+7,+8,+11; +2 circumstance to all saves vs. dream and sleep,45,,25 feet,Bestiary pg. 62
80,Chimera,8,,Large,Beast,"+16; , ( ) 30 feet",Draconic,"Acrobatics +14, Athletics +18, Stealth +18",+6,+2,+4,-3,+2,+0,27,+18,+16,+14,135,,"25 feet, fly 40 feet",Monster Core pg. 62
81,Chuul,7,CE,Large,"Aberration, Amphibious","+15; darkvision, tremorsense (imprecise) 30 feet","Aklo, Common, ; (or Undercommon, for Darklands variants)","Athletics +17, Nature +13, Stealth +14, Survival +13",+6,+3,+4,+0,+2,-1,28,+18,+15,+12,100,,30 feet; swim 25 feet,Bestiary pg. 64
82,Cloaker,5,CN,Large,Aberration,+12; darkvision,"Aklo, Undercommon","Deception +14 (+16 to Impersonate a cloak sheet or ray), Religion +12, Stealth +14",+5,+3,+4,+2,+3,+1,22,+13,+12,+12,80,,"10 feet, fly 30 feet",Bestiary pg. 65
83,Cockatrice,3,N,Small,Beast,+8; darkvision,UNKNOWN,Acrobatics +11,-2,+4,+1,-3,+1,-1,19,+8,+11,+6,45,,"20 feet, fly 40 feet",Bestiary pg. 66
84,Crocodile,2,N,Large,Animal,+7; low-light vision,UNKNOWN,"Athletics +8, Stealth +7 (+11 in water)",+4,+1,+3,-5,+1,-4,18,+9,+7,+5,30,,"20 feet, swim 25 feet",Bestiary pg. 67
86,Cyclops,5,LE,Large,"Giant, Humanoid",+12; low-light vision,"Common, Cyclops, Jotun","Athletics +14, Fortune-Telling Lore +13, Intimidation +10, Survival +12",+5,-1,+2,+0,+3,-1,21,+13,+8,+12,80,,30 feet,Bestiary pg. 68
87,Great Cyclops,12,CE,Huge,"Giant, Humanoid, Mutant",+22; low-light vision,"Common, Cyclops, Jotun","any one Lore +18, Athletics +25, Survival +22",+7,+1,+6,-2,+4,-1,32,+25,+19,+22,235,,40 feet,Bestiary pg. 69
88,Cacodaemon (Harvester Daemon),1,,Tiny,"Daemon, Fiend, Unholy",+6;,"Daemonic, telepathy, 100 feet","Acrobatics +8, Deception +5, Religion +6, Stealth +8",+0,+3,+2,-1,+1,+2,16,+7,+8,+6,22,,"5 feet, fly 40 feet",Monster Core pg. 72
89,Ceustodaemon (Guardian Daemon),6,NE,Large,"Daemon, Fiend","+14; darkvision,","Common, Daemonic, ; telepathy 100 feet","Deception +15, Intimidation +13, Stealth +12, Survival +10",+5,+2,+4,+0,+2,+3,23,+16,+12,+12,130,,25 feet,Bestiary pg. 71
90,Leukodaemon (Pestilence Daemon),9,,Large,"Daemon, Fiend, Unholy","+20; , plaguesense ( ) 60 feet","Daemonic, telepathy, 100 feet","Acrobatics +18, Intimidation +18, Medicine +20, Religion +20, Stealth +18, Survival +16",+6,+5,+1,+3,+5,+3,28,+15,+21,+19; +1 status to all saves vs.,155,,"25 feet, fly 40 feet",Monster Core pg. 74
91,Astradaemon (Void Daemon),16,,Large,"Daemon, Fiend, Unholy","+28; , 30 feet,","Common, Daemonic, telepathy, 100 feet","Acrobatics +28, Athletics +32, Intimidation +33, Religion +26, Stealth +28, Survival +26",+8,+6,+7,+2,+4,+7,39,+27,+30,+26; +1 status to all saves vs.,240,,"60 feet, fly 60 feet",Monster Core pg. 75
93,Deep Gnome Scout,1,N,Small,"Gnome, Humanoid",+7; darkvision,"Gnomish, Undercommon","Acrobatics +7, Nature +5, Stealth +7 (+10 underground), Survival +5",+2,+4,+2,+0,+2,-1,17,+7,+9,+5,18,,20 feet,Bestiary pg. 74
94,Deep Gnome Warrior,2,N,Small,"Gnome, Humanoid",+7; darkvision,"Gnomish, Undercommon","Athletics +8, Intimidation +5, Stealth +5",+4,+2,+3,+0,+1,-1,18 (20 with shield raised),+9,+8,+5,34,,20 feet,Bestiary pg. 75
96,Deep Gnome Rockwarden,5,N,Small,"Gnome, Humanoid",+14; darkvision,"Gnomish, Terran, Undercommon","Crafting +9, Diplomacy +11, Nature +14, Stealth +9",+1,+2,+3,+0,+5,+2,22,+12,+9,+14,63,,15 feet,Bestiary pg. 75
97,Quasit,1,CE,Tiny,"Demon, Fiend",+7; darkvision,"Abyssal, Common, ; telepathy (touch)","Acrobatics +7, Arcana +4, Deception +7, Intimidation +5, Religion +5, Stealth +7",-1,+4,+0,+1,+2,+2,17,+4,+10,+7,25,,"15 feet, fly 35 feet",Bestiary pg. 76
98,Succubus (Lust Demon),7,,Medium,"Demon, Fiend, Unholy",+15;,"Chthonian, Common, Draconic, Empyrean, ; three additional mortal languages,, telepathy, 100 feet,, truespeech","Acrobatics +14, Deception +18, Diplomacy +20, Intimidation +16, Religion +13, Society +15, Stealth +14",+2,+3,+4,+4,+2,+7,23,+15,+14,+17; +1 status to all saves vs.,100,,"25 feet, fly 35 feet",Monster Core pg. 78
100,Vrock (Wrath Demon),9,CE,Large,"Demon, Fiend",+18; darkvision,"Abyssal, Celestial, Draconic, ; telepathy 100 feet","Acrobatics +18, Intimidation +18, Performance +18, Religion +18, Stealth +18, Survival +16",+6,+3,+5,+2,+3,+3,28,+20,+18,+15; +1 status to all saves vs. magic,185,,"25 feet, fly 35 feet",Bestiary pg. 78
101,Glabrezu (Treachery Demon),13,CE,Huge,"Demon, Fiend","+24; darkvision,","Abyssal, Celestial, Draconic, ; telepathy 100 feet,, tongues","Deception +28, Diplomacy +26, Intimidation +26, Religion +22, Society +22, Stealth +21",+7,+2,+7,+3,+3,+7,34,+26,+19,+24; +1 status to all saves vs. magic,280,,35 feet,Bestiary pg. 79
102,Shemhazian (Mutilation Demon),16,,Gargantuan,"Demon, Fiend, Unholy","+30; , ( ) 60 feet,","Chthonian, Draconic, Empyrean, telepathy, 100 feet","Athletics +31, Deception +25, Intimidation +27, Medicine +28, Religion +30",+9,+5,+7,+0,+6,+3,39,+32,+26,+27; +1 status to all saves vs.,350,,"35 feet, climb 20 feet, fly 35 feet",Monster Core pg. 81
103,Marilith (Pride Demon),17,CE,Large,"Demon, Fiend","+30; darkvision,","Abyssal, Celestial, Draconic, ; telepathy 100 feet","Acrobatics +33, Deception +30, Diplomacy +30, Intimidation +32, Religion +29, Stealth +29, Warfare Lore +31",+8,+6,+6,+4,+4,+7,40,+31,+29,+27; +1 status to all saves vs. magic,380,,"40 feet, fly 40 feet (from",Bestiary pg. 81
105,Dero Stalker,2,,Small,"Dero, Humanoid",+5;,"Aklo, Sakvroth","Acrobatics +8, Medicine +5, Stealth +8, Thievery +8",+2,+4,+3,+0,-1,+1,18,+7,+10,+3,30,,20 feet,Monster Core pg. 84
106,Dero Strangler,3,,Small,"Dero, Humanoid",+6;,"Aklo, Sakvroth","Athletics +11, Intimidation +7, Medicine +6, Stealth +10",+4,+3,+3,+0,-1,+2,19,+10,+8,+6,45,,20 feet,Monster Core pg. 84
107,Dero Magister,5,,Small,"Dero, Humanoid",+8;,"Aklo, Sakvroth","Crafting +12, Medicine +10, Occultism +12, Stealth +11",+1,+4,+2,+3,-1,+5,22,+10,+13,+10,65,,20 feet,Monster Core pg. 85
108,Lemure,0,LE,Medium,"Devil, Fiend, Mindless",+0; greater darkvision,UNKNOWN,Athletics +5,+2,+0,+3,-5,+0,-3,13,+10,+5,+3,20,physical 3 (except,20 feet,Bestiary pg. 86
109,Imp,1,,Small,"Fiend, Unholy",+7;,"Chthonian, Common, Daemonic, Diabolic, telepathy, (touch)","Acrobatics +7, Arcana +6, Deception +7, Religion +5",-1,+4,+0,+1,+2,+2,17,+5,+9,+7,15,,"20 feet, fly 30 feet",Monster Core pg. 206
110,Vordine (Infantry Devil),5,,Medium,"Devil, Fiend, Unholy",+12;,"Common, Diabolic, telepathy, 100 feet","Acrobatics +13, Athletics +15, Intimidation +13, Religion +12, Warfare Lore +13",+4,+4,+5,+2,+3,+2,22,+14,+13,+10; +1 status to all saves vs.,60,physical 5 (except,25 feet,Monster Core pg. 87
111,Erinys (Fury Devil),8,LE,Medium,"Devil, Fiend","+18; greater darkvision,","Celestial, Common, Draconic, Infernal, ; telepathy 100 feet","Acrobatics +17, Crafting +14, Deception +19, Diplomacy +15, Intimidation +19, Religion +16, Stealth +17",+5,+5,+5,+2,+4,+5,27,+17,+19,+16; +1 status to all saves vs. magic,120,physical 5 (except,"25 feet, fly 40 feet",Bestiary pg. 89
112,Phistophilus (Contract Devil),10,,Medium,"Devil, Fiend, Unholy",+21;,"Aklo, Chthonian, Common, Diabolic, Draconic, Empyrean, Sakvroth, telepathy, 100 feet,, truespeech","Arcana +19, Deception +23, Diplomacy +21, Intimidation +21, Legal Lore +25, Religion +19, Society +19, Stealth +18",+3,+4,+4,+7,+5,+5,30,+18,+18,+23; +1 status to all saves vs.,150,physical 10 (except,25 feet,Monster Core pg. 90
113,Gelugon (Ice Devil),13,LE,Large,"Devil, Fiend",+26; greater darkvision,"Celestial, Common, Draconic, Infernal, ; telepathy 100 feet","Acrobatics +22, Athletics +23, Deception +25, Diplomacy +25, Intimidation +23, Religion +26, Society +25, Stealth +22, Warfare Lore +30",+6,+5,+5,+8,+5,+4,34,+24,+24,+26; +1 status to all saves vs. magic,215,physical 10 (except,"35 feet, fly 35 feet (from",Bestiary pg. 91
